Empresa,Modo de trabalho,Seniority,Descrição,Tecnologias,Categoria,Tipo de contrato,Link,Título,Data de publicação,Localização
Integer Consulting,Remoto,Senior,"Integer Consulting is a Portuguese IT consulting company. We specialize in IT outsourcing services, software, nearshore projects and custom development. We are partners of the world's leading technology players and work with national and multinational companies from a wide range of industries. Most of the projects in which we participate are in Portugal, Brazil and throughout Europe. What sets us apart is the technological talent and experience of the people who make up our team and are part of our projects. Are you looking for new opportunities in IT? We have news for you! This could be the perfect challenge if you have: - Higher education in Computer Science, Software Engineering, Information Systems or related areas; - At least 5 years' experience in Power platform Administration roles;...","Power Platform, TypeScript",Software Development,Contrato sem termo,https://www.itjobs.pt/oferta/505895/senior-power-platform-developer-administrator,Senior Power Platform Developer & Administrator,19 de Outubro de 2025,"Lisboa, Porto"
Neotalent Conclusion,Remoto,Lead,"Who are we: Neotalent Conclusion is one of the leading Iberian specialists providing services in Information Technology and Engineering services. As part of the Netherlands-based organization Conclusion, which has an ecosystem of over 25 companies and 3,600 employees, we are focused on increasing the technological capacity of our clients and the digital transformation of their application ecosystems. We are talent specialists, attracting the best people and combining them with the needs of the most ambitious projects, at the right time. Our success comes from our investments in innovation, our focus on results, and, above all, the guarantee that our people will have happy and rewarding careers. With over 25 years of solid experience, Neotalent Conclusion has established its presence in key...","Git, Python, TypeScript",Backend,Contrato sem termo,https://www.itjobs.pt/oferta/505865/integration-architect,Integration Architect,19 de Outubro de 2025,Lisboa
We Are Meta,Presencial,C-Level,"Seeking a .Net Developer: Rhino, are you there? At WE ARE META, we focus on finding the perfect match between our Rhinos and our clients. Why join us? Expand your network: As a consultant at We Are META, you’ll have access to a network of national and international partners across diverse sectors of the tech industry. Enjoy our perks: When you join the crash you’ll have an array of benefits , to help you achieve the best work-life balance. Get your perfect match: Our recruiters do their best to get the best position for you, whether in terms of working policy (remote, hybrid, on-site) or the company’s culture . Personalized support: With our career coach , we assure that all your needs are being met and you’re being provided everything you need to excel in your professional life because th...",".NET, TypeScript",Infrastructure,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/504861/net-developer,.Net Developer,19 de Outubro de 2025,Coimbra
Dellent,Presencial,Junior,"Dellent is a consulting company focused in System Information and Telecommunications. Our goal is to help our candidates and consultants to take a step forward in their careers through projects that meet their needs and expectations. This project is part of the business investment banking and financial services area, and currently has its technological hub in Porto and is working on the development of innovative solutions and support for all operations related to the business. We are looking for a Junior Application Support Engineer to work in this project in Porto (Hybrid). Requirements: -Less than 3 years of experience on a similar role; -Have experience in Support L2 and L3 on the ITIL best practices; -Know well operation system as Windows and Linux; -Understand and know Virtualize envi...",TypeScript,Infrastructure,Full-time,https://www.itjobs.pt/oferta/504931/junior-application-support-engineer,Junior Application Support Engineer,19 de Outubro de 2025,Porto
GRiT Solutions,Remoto,Senior,"Senior Process Analyst - Process Optimization & Automation There's no secret to become number-one, it takes willingness to improve and determination to pursue it. At GRiT®, it’s all about the journey getting there. We trust talent and intelligence are important, yet passion and perseverance are key to achieving any goal. We are Tech Passionate People with a Purpose, delivering solutions while building strong long-term relations. Recognizing each person’s unique contribution to our collective success, we embrace inclusion and diversity, committed to creating a respectful and socially responsible environment. People. Technology. Innovation. All-around it. Are you GRiTTY enough to be part of our journey? Take the first step by applying now and let’s create our future together. Job Description...",Rust,DevOps,Full-time,https://www.itjobs.pt/oferta/506014/senior-process-analyst-process-optimization-automation,Senior Process Analyst - Process Optimization & Automation,19 de Outubro de 2025,Lisboa
QiBit Portugal,Presencial,C-Level,"We are looking for a Data Governance Specialist to join the team of our client - a reference company in the retail sector who is creating a new IT Hub in Portugal. What will be your main tasks and responsibilities? Manage governance frameworks and ensure compliance with data and IT policies; Facilitate data governance, risk assessments, and continuous improvement initiatives; Collaborate with stakeholders to understand use cases and align governance objectives; Contribute to documentation, standards, and policy development while coordinating testing and validation efforts. What is required from you? Bachelor's degree in Data Science, Computer Science, or a related field; Previous professional experience in data goverrnance, data management, or similar areas; Expertise in driving compliance...","Data Science, Machine Learning, TypeScript",QA,Contrato sem termo,https://www.itjobs.pt/oferta/506005/data-governance-specialist,Data Governance Specialist,19 de Outubro de 2025,Porto
KWAN,Presencial,Lead,"We are looking for a Backend Node.js Developer to work in Lisbon who's eager to embark on an exciting new opportunity! Apply here <endereço ocultado> About KWAN We connect IT professionals with projects that match their skills, professional experience, and goals, then we offer a career progression program, delivered by in-house specialists - our People Experience Partners - to guide them through our journey with us. What we are looking for • 5+ years of professional experience in software development, with 3+ years using Node.js. Proficiency in JavaScript/TypeScript; • Solid understanding of RESTful APIs, microservices, and event-driven architectures. • Experience with frameworks like Express, NestJS, or Fastify; • Experience with message queues (Kafka, RabbitMQ, SQS); • Proficiency with d...","API REST, AWS, Express, JavaScript, Microservices, Node.js, TypeScript",Backend,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/505908/backend-node-js-developer-w-aws,Backend Node.js Developer w/ AWS,19 de Outubro de 2025,"Lisboa, Porto, Coimbra, Braga"
Integer Consulting,Presencial,Senior,"A Integer Consulting é uma empresa portuguesa de consultoria em tecnologias de informação. Somos especialistas em serviços de IT outsourcing, software, projetos de nearshore e desenvolvimento à medida. Somos parceiros dos principais players tecnológicos a nível mundial e trabalhamos com empresas nacionais e multinacionais de diversos setores de atividade. A maioria dos projetos em que participamos são em Portugal, no Brasil e um pouco por toda a Europa. O que nos diferencia é o talento tecnológico e a experiência das pessoas que fazem parte da equipa e que integram os nossos projetos. Estás à procura de novas oportunidades na área de IT? Temos novidades para ti! Este pode ser o desafio perfeito, se tiveres: - + de 5 anos de experiência com PHP, JavaScript, HTML, CSS; - Bons conhecimentos d...","JavaScript, Machine Learning, PHP, TypeScript",Frontend,Full-time,https://www.itjobs.pt/oferta/505837/php-developer,PHP Developer,19 de Outubro de 2025,Lisboa
Neotalent Conclusion,Remoto,Senior,"Who are we: Neotalent Conclusion is one of the leading Iberian specialists providing services in Information Technology and Engineering services. As part of the Netherlands-based organization Conclusion, which has an ecosystem of over 25 companies and 3,600 employees, we are focused on increasing the technological capacity of our clients and the digital transformation of their application ecosystems. We are talent specialists, attracting the best people and combining them with the needs of the most ambitious projects, at the right time. Our success comes from our investments in innovation, our focus on results, and, above all, the guarantee that our people will have happy and rewarding careers. With over 25 years of solid experience, Neotalent Conclusion has established its presence in key...","Git, Python, TypeScript",Backend,Contrato sem termo,https://www.itjobs.pt/oferta/505864/business-support-analyst,Business Support Analyst,19 de Outubro de 2025,Lisboa
Dellent,Presencial,C-Level,"Dellent is a consulting company focused in System Information and Telecommunications. Our goal is to help our candidates and consultants to take a step forward in their careers through projects that meet their needs and expectations. Here you will work in the development of high-tech systems integration services in areas such as digital transformation and network automation for different sectors of activity, but in particular for telecommunications. We are looking for a Site Reliability Engineering for a long term role in this project in Lisbon or Porto (flexible hybrid). As a part of your job, you will: - Lead and support the migration of WebLogic from 11g to 12c, including Portal upgrade; - Collaborate with Agile teams to ensure seamless integration and delivery; - Maintain and enhance s...","Agile, Git, Machine Learning, TypeScript",Data Science,Full-time,https://www.itjobs.pt/oferta/504929/site-reliability-engineering,Site Reliability Engineering,19 de Outubro de 2025,"Lisboa, Porto"
We Are Meta,Presencial,C-Level,"Seeking a Support Analyst: Rhino, are you there? At WE ARE META, we focus on finding the perfect match between our Rhinos and our clients. Why join us? Expand your network: As a consultant at We Are META, you’ll have access to a network of national and international partners across diverse sectors of the tech industry. Enjoy our perks: When you join the crash you’ll have an array of benefits , to help you achieve the best work-life balance. Get your perfect match: Our recruiters do their best to get the best position for you, whether in terms of working policy (remote, hybrid, on-site) or the company’s culture . Personalized support: With our career coach , we assure that all your needs are being met and you’re being provided everything you need to excel in your professional life because t...",TypeScript,Infrastructure,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/504854/support-analyst,Support Analyst,19 de Outubro de 2025,Porto
QiBit Portugal,Presencial,C-Level,"We are looking for a Data Scientist to join the team of our client - a reference company in the retail sector who is creating a new IT Hub in Portugal. What will be your main tasks and responsibilities? Develop and deliver data-driven solutions, including models, pipelines, and automation; Analyze complex datasets, ensuring quality, compliance, and availability of assets; Collaborate with stakeholders to understand business needs and design tailored solutions; Contribute to governance, risk assessments, documentation, and continuous improvement. What is required from you? Bachelor's degree in Data Science, Computer Science, or a related field; Previous professional experience in data science roles; Expertise in building, testing, and maintaining high-quality models and data solutions Exper...","Data Science, Machine Learning, TypeScript",QA,Contrato sem termo,https://www.itjobs.pt/oferta/506006/data-scientist,Data Scientist,19 de Outubro de 2025,Porto
KWAN,Presencial,Senior,"We are looking for a Fullstack Node.js & Python Developer to work in Lisbon who's eager to embark on an exciting new opportunity! Apply here <endereço ocultado> About KWAN We connect IT professionals with projects that match their skills, professional experience, and goals, then we offer a career progression program, delivered by in-house specialists - our People Experience Partners - to guide them through our journey with us. What we are looking for • Bachelor's degree in Computer Engineering or equivalent; • Minimum of 5 years of experience in software development projects; • At least 2 years of experience in Web development with Python; • Minimum of 3 years of experience with Node.js (Nest.js, Express.js); • Minimum of 3 years of experience in development using the React framework (Reac...","Express, JavaScript, Node.js, Python, React, TypeScript",Frontend,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/505897/fullstack-node-js-python-developer,Fullstack Node.js & Python Developer,19 de Outubro de 2025,Lisboa
Integer Consulting,Presencial,Senior,"A Integer Consulting é uma empresa portuguesa de consultoria em tecnologias de informação. Somos especialistas em serviços de IT outsourcing, software, projetos de nearshore e desenvolvimento à medida. Somos parceiros dos principais players tecnológicos a nível mundial e trabalhamos com empresas nacionais e multinacionais de diversos setores de atividade. A maioria dos projetos em que participamos são em Portugal, no Brasil e um pouco por toda a Europa. O que nos diferencia é o talento tecnológico e a experiência das pessoas que fazem parte da equipa e que integram os nossos projetos. Estás à procura de novas oportunidades na área de IT? Temos novidades para ti! Este pode ser o desafio perfeito, se tiveres: - +4 anos de experiência sólida em PHP (obrigatório); - Conhecimentos em HTML5, CSS...","Machine Learning, PHP, TypeScript",Frontend,Full-time,https://www.itjobs.pt/oferta/505839/php-developer-regime-hibrido,PHP Developer | Regime híbrido,19 de Outubro de 2025,Lisboa
